Unix_Time_s,RelativeTime_s,Target_Position_Deg,Measured_Position_Deg,Is_Bursting
1782117235.668031,0.012,7.000,7.000,0
1782117235.675738,0.020,7.000,7.000,0
1782117235.687166,0.032,7.000,7.000,0
1782117235.695279,0.040,7.000,7.000,0
1782117235.711056,0.055,7.000,7.000,0
1782117235.715746,0.060,7.000,7.000,0
1782117235.725169,0.070,7.000,7.000,0
1782117235.735953,0.080,7.000,7.000,0
1782117235.745300,0.090,7.000,7.000,0
1782117235.755626,0.100,7.000,7.000,0
1782117235.766055,0.110,7.000,7.000,0
1782117235.776730,0.121,7.000,7.000,0
1782117235.787837,0.132,7.000,7.000,0
1782117235.796656,0.141,7.000,7.000,0
1782117235.878788,0.223,7.000,7.000,0
1782117235.880294,0.225,7.000,7.000,0
1782117235.880294,0.225,7.000,7.000,0
1782117235.880294,0.225,7.000,7.000,0
1782117235.894279,0.239,7.000,7.000,0
1782117235.894279,0.239,7.000,7.000,0
1782117235.895382,0.240,7.000,7.000,0
1782117235.895382,0.240,7.000,7.000,0
1782117235.895382,0.240,7.000,7.000,0
1782117235.896382,0.241,7.000,7.000,0
1782117235.931877,0.276,7.000,7.000,0
1782117235.931877,0.276,7.000,7.000,0
1782117235.932901,0.277,7.000,7.000,0
1782117235.935982,0.280,7.000,7.000,0
1782117235.949245,0.294,7.000,7.000,0
1782117235.955863,0.300,7.000,7.000,0
1782117235.966353,0.311,7.000,7.000,0
1782117235.980472,0.325,7.000,7.000,0
1782117235.987070,0.331,7.000,7.000,0
1782117235.996099,0.341,7.000,7.000,0
1782117236.006642,0.351,7.000,7.000,0
1782117236.017658,0.362,7.000,7.000,0
1782117236.025374,0.370,7.000,7.000,0
1782117236.034747,0.379,7.000,7.000,0
1782117236.047695,0.392,7.000,7.000,0
1782117236.057763,0.402,7.000,7.000,0
1782117236.070502,0.415,7.000,7.000,0
1782117236.075134,0.420,7.000,7.000,0
1782117236.084770,0.429,7.000,7.000,0
1782117236.094786,0.439,7.000,7.000,0
1782117236.104945,0.449,7.000,7.000,0
1782117236.124084,0.469,7.000,7.000,0
1782117236.125084,0.470,7.000,7.000,0
1782117236.153022,0.497,7.000,7.000,0
1782117236.155539,0.500,7.000,7.000,0
1782117236.156301,0.501,7.000,7.000,0
1782117236.167087,0.512,7.000,7.000,0
1782117236.176861,0.521,7.000,7.000,0
1782117236.187090,0.532,7.000,7.000,0
1782117236.195083,0.540,7.000,7.000,0
1782117236.206642,0.551,7.000,7.000,0
1782117236.223687,0.568,7.000,7.000,0
1782117236.226348,0.571,7.000,7.000,0
1782117236.235342,0.580,7.000,7.000,0
1782117236.247322,0.592,7.000,7.000,0
1782117236.256016,0.600,7.000,7.000,0
1782117236.265004,0.609,7.000,7.000,0
1782117236.275602,0.620,7.000,7.000,0
1782117236.285117,0.630,7.000,7.000,0
1782117236.296139,0.641,7.000,7.000,0
1782117236.306032,0.650,7.000,7.000,0
1782117236.318238,0.663,7.000,7.000,0
1782117236.326998,0.671,7.000,7.000,0
1782117236.335630,0.680,7.000,7.000,0
1782117236.347401,0.692,7.000,7.000,0
1782117236.357416,0.702,7.000,7.000,0
1782117236.368474,0.713,7.000,7.000,0
1782117236.375575,0.720,7.000,7.000,0
1782117236.386541,0.731,7.000,7.000,0
1782117236.396904,0.741,7.000,7.000,0
1782117236.405229,0.750,7.000,7.000,0
1782117236.426167,0.771,7.000,7.000,0
1782117236.430190,0.775,7.000,7.000,0
1782117236.437190,0.782,7.000,7.000,0
1782117236.446229,0.791,7.000,7.000,0
1782117236.458124,0.803,7.000,7.000,0
1782117236.466728,0.811,7.000,7.000,0
1782117236.475736,0.820,7.000,7.000,0
1782117236.489439,0.834,7.000,7.000,0
1782117236.495946,0.840,7.000,7.000,0
1782117236.506742,0.851,7.000,7.000,0
1782117236.515547,0.860,7.000,7.000,0
1782117236.531668,0.876,7.000,7.000,0
1782117236.535743,0.880,7.000,7.000,0
1782117236.546265,0.891,7.000,7.000,0
1782117236.563614,0.908,7.000,7.000,0
1782117236.566816,0.911,7.000,7.000,0
1782117236.578026,0.922,7.000,7.000,0
1782117236.584540,0.929,7.000,7.000,0
1782117236.594857,0.939,7.000,7.000,0
1782117236.607534,0.952,7.000,7.000,0
1782117236.614625,0.959,7.000,7.000,0
1782117236.640630,0.985,7.000,7.000,0
1782117236.640630,0.985,7.000,7.000,0
1782117236.645630,0.990,7.000,7.000,0
1782117236.655630,1.000,7.000,7.000,0
1782117236.665632,1.010,7.000,7.000,0
1782117236.676594,1.021,7.000,7.000,0
1782117236.685992,1.030,7.000,7.000,0
1782117236.696313,1.041,7.000,7.000,0
1782117236.705318,1.050,7.000,7.000,0
1782117236.715851,1.060,7.000,7.000,0
1782117236.732339,1.077,7.000,7.000,0
1782117236.736338,1.081,7.000,7.000,0
1782117236.745338,1.090,7.000,7.000,0
1782117236.758771,1.103,7.000,7.000,0
1782117236.766774,1.111,7.000,7.000,0
1782117236.774771,1.119,7.000,7.000,0
1782117236.785804,1.130,7.000,7.000,0
1782117236.798216,1.143,7.000,7.000,0
1782117236.806222,1.151,7.000,7.000,0
1782117236.817732,1.162,7.000,7.000,0
1782117236.825733,1.170,7.000,7.000,0
1782117236.837125,1.182,7.000,7.000,0
1782117236.858661,1.203,7.000,7.000,0
1782117236.859661,1.204,7.000,7.000,0
1782117236.868147,1.213,7.000,7.000,0
1782117236.875986,1.220,7.000,7.000,0
1782117236.884498,1.229,7.000,7.000,0
1782117236.897244,1.242,7.000,7.000,0
1782117236.905213,1.250,7.000,7.000,0
1782117236.918850,1.263,7.000,7.000,0
1782117236.927243,1.272,7.000,7.000,0
1782117236.939698,1.284,7.000,7.000,0
1782117236.946785,1.291,7.000,7.000,0
1782117236.956689,1.301,7.000,7.000,0
1782117236.964789,1.309,7.000,7.000,0
1782117236.976692,1.321,7.000,7.000,0
1782117236.985832,1.330,7.000,7.000,0
1782117236.995939,1.340,7.000,7.000,0
1782117237.005006,1.349,7.000,7.000,0
1782117237.016609,1.361,7.000,7.000,0
1782117237.026023,1.370,7.000,7.000,0
1782117237.042736,1.387,7.000,7.000,0
1782117237.046877,1.391,7.000,7.000,0
1782117237.055728,1.400,7.000,7.000,0
1782117237.070955,1.415,7.000,7.000,0
1782117237.075697,1.420,7.000,7.000,0
1782117237.089038,1.433,7.000,7.000,0
1782117237.097036,1.441,7.000,7.000,0
1782117237.106091,1.451,7.000,7.000,0
1782117237.116630,1.461,7.000,7.000,0
1782117237.125065,1.469,7.000,7.000,0
1782117237.145591,1.490,7.000,7.000,0
1782117237.145591,1.490,7.000,7.000,0
1782117237.156812,1.501,7.000,7.000,0
1782117237.169229,1.514,7.000,7.000,0
1782117237.176113,1.521,7.000,7.000,0
1782117237.195112,1.540,7.000,7.000,0
1782117237.197111,1.542,7.000,7.000,0
1782117237.207291,1.552,7.000,7.000,0
1782117237.216204,1.561,7.000,7.000,0
1782117237.228105,1.573,7.000,7.000,0
1782117237.238107,1.583,7.000,7.000,0
1782117237.246107,1.591,7.000,7.000,0
1782117237.256955,1.601,7.000,7.000,0
1782117237.268287,1.613,7.000,7.000,0
1782117237.282940,1.627,7.000,7.000,0
1782117237.289289,1.634,7.000,7.000,0
1782117237.298311,1.643,7.000,7.000,0
1782117237.305833,1.650,7.000,7.000,0
1782117237.318157,1.663,7.000,7.000,0
1782117237.327871,1.672,7.000,7.000,0
1782117237.337734,1.682,7.000,7.000,0
1782117237.347086,1.692,7.000,7.000,0
1782117237.360683,1.705,7.000,7.000,0
1782117237.364691,1.709,7.000,7.000,0
1782117237.381674,1.726,7.000,7.000,0
1782117237.386497,1.731,7.000,7.000,0
1782117237.395688,1.740,7.000,7.000,0
1782117237.406646,1.751,7.000,7.000,0
1782117237.415165,1.760,7.000,7.000,0
1782117237.425191,1.770,7.000,7.000,0
1782117237.438219,1.783,7.000,7.000,0
1782117237.455275,1.800,7.000,7.000,0
1782117237.455275,1.800,7.000,7.000,0
1782117237.466186,1.811,7.000,7.000,0
1782117237.476218,1.821,7.000,7.000,0
1782117237.485285,1.830,7.000,7.000,0
1782117237.495418,1.840,7.000,7.000,0
1782117237.505419,1.850,7.000,7.000,0
1782117237.517230,1.862,7.000,7.000,0
1782117237.523883,1.868,7.000,7.000,0
1782117237.537956,1.882,7.000,7.000,0
1782117237.556539,1.901,7.000,7.000,0
1782117237.558624,1.903,7.000,7.000,0
1782117237.564901,1.909,7.000,7.000,0
1782117237.578952,1.923,7.000,7.000,0
1782117237.585513,1.930,7.000,7.000,0
1782117237.596868,1.941,7.000,7.000,0
1782117237.606086,1.951,7.000,7.000,0
1782117237.616929,1.961,7.000,7.000,0
1782117237.625505,1.970,7.000,7.000,0
1782117237.636544,1.981,7.000,7.000,0
1782117237.645620,1.990,7.000,7.000,0
1782117237.656502,2.001,7.000,7.000,0
1782117237.665762,2.010,7.000,7.000,0
1782117237.677602,2.022,7.000,7.000,0
1782117237.688502,2.033,7.000,7.000,0
