Unix_Time_s,RelativeTime_s,Target_Position_Deg,Measured_Position_Deg,Is_Bursting
1782117408.603849,0.013,7.000,7.000,0
1782117408.613369,0.023,7.000,7.000,0
1782117408.623397,0.033,7.000,7.000,0
1782117408.634430,0.044,7.000,7.000,0
1782117408.643800,0.053,7.000,7.000,0
1782117408.655867,0.065,7.000,7.000,0
1782117408.663593,0.073,7.000,7.000,0
1782117408.673091,0.082,7.000,7.000,0
1782117408.685359,0.095,7.000,7.000,0
1782117408.703094,0.112,7.000,7.000,0
1782117408.712487,0.122,7.000,7.000,0
1782117408.716066,0.125,7.000,7.000,0
1782117408.724691,0.134,7.000,7.000,0
1782117408.735568,0.145,7.000,7.000,0
1782117408.744223,0.153,7.000,7.000,0
1782117408.758295,0.167,7.000,7.000,0
1782117408.766773,0.176,7.000,7.000,0
1782117408.774832,0.184,7.000,7.000,0
1782117408.787831,0.197,7.000,7.000,0
1782117408.796368,0.206,7.000,7.000,0
1782117408.808197,0.217,7.000,7.000,0
1782117408.814714,0.224,7.000,7.000,0
1782117408.823792,0.233,7.000,7.000,0
1782117408.833275,0.242,7.000,7.000,0
1782117408.844893,0.254,7.000,7.000,0
1782117408.854667,0.264,7.000,7.000,0
1782117408.863785,0.273,7.000,7.000,0
1782117408.873321,0.282,7.000,7.000,0
1782117408.884451,0.294,7.000,7.000,0
1782117408.895483,0.305,7.000,7.000,0
1782117408.903050,0.312,7.000,7.000,0
1782117408.914331,0.324,7.000,7.000,0
1782117408.926393,0.336,7.000,7.000,0
1782117408.933447,0.343,7.000,7.000,0
1782117408.943756,0.353,7.000,7.000,0
1782117408.952957,0.362,7.000,7.000,0
1782117408.970409,0.380,7.000,7.000,0
1782117408.972417,0.382,7.000,7.000,0
1782117408.984514,0.394,7.000,7.000,0
1782117408.995098,0.404,7.000,7.000,0
1782117409.004080,0.413,7.000,7.000,0
1782117409.013532,0.423,7.000,7.000,0
1782117409.022322,0.431,7.000,7.000,0
1782117409.034879,0.444,7.000,7.000,0
1782117409.043006,0.452,7.000,7.000,0
1782117409.053770,0.463,7.000,7.000,0
1782117409.066037,0.475,7.000,7.000,0
1782117409.073498,0.483,7.000,7.000,0
1782117409.084550,0.494,7.000,7.000,0
1782117409.096847,0.506,7.000,7.000,0
1782117409.106534,0.516,7.000,7.000,0
1782117409.114640,0.524,7.000,7.000,0
1782117409.122839,0.532,7.000,7.000,0
1782117409.134234,0.543,7.000,7.000,0
1782117409.143286,0.552,7.000,7.000,0
1782117409.154010,0.563,7.000,7.000,0
1782117409.163739,0.573,7.000,7.000,0
1782117409.175296,0.584,7.000,7.000,0
1782117409.183368,0.593,7.000,7.000,0
1782117409.193289,0.602,7.000,7.000,0
1782117409.208174,0.617,7.000,7.000,0
1782117409.213512,0.623,7.000,7.000,0
1782117409.224138,0.633,7.000,7.000,0
1782117409.239803,0.649,7.000,7.000,0
1782117409.244326,0.654,7.000,7.000,0
1782117409.253147,0.662,7.000,7.000,0
1782117409.264447,0.674,7.000,7.000,0
1782117409.277695,0.687,7.000,7.000,0
1782117409.285661,0.695,7.000,7.000,0
1782117409.293283,0.702,7.000,7.000,0
1782117409.308986,0.718,7.000,7.000,0
1782117409.329009,0.738,7.000,7.000,0
1782117409.330534,0.740,7.000,7.000,0
1782117409.334092,0.743,7.000,7.000,0
1782117409.344125,0.753,7.000,7.000,0
1782117409.353642,0.763,7.000,7.000,0
1782117409.364847,0.774,7.000,7.000,0
1782117409.374633,0.784,7.000,7.000,0
1782117409.383483,0.793,7.000,7.000,0
1782117409.393499,0.803,7.000,7.000,0
1782117409.415456,0.825,7.000,7.000,0
1782117409.415456,0.825,7.000,7.000,0
1782117409.423004,0.832,7.000,7.000,0
1782117409.436685,0.846,7.000,7.000,0
1782117409.443438,0.853,7.000,7.000,0
1782117409.454539,0.864,7.000,7.000,0
1782117409.463071,0.872,7.000,7.000,0
1782117409.474597,0.884,7.000,7.000,0
1782117409.483609,0.893,7.000,7.000,0
1782117409.495266,0.904,7.000,7.000,0
1782117409.505345,0.915,7.000,7.000,0
1782117409.513892,0.923,7.000,7.000,0
1782117409.523166,0.932,7.000,7.000,0
1782117409.534919,0.944,7.000,7.000,0
1782117409.543725,0.953,7.000,7.000,0
1782117409.553888,0.963,7.000,7.000,0
1782117409.566163,0.975,7.000,7.000,0
1782117409.574335,0.984,7.000,7.000,0
1782117409.585467,0.995,7.000,7.000,0
1782117409.593133,1.002,7.000,7.000,0
1782117409.604192,1.013,7.000,7.000,0
1782117409.618654,1.028,7.000,7.000,0
1782117409.622166,1.031,8.200,7.000,1
1782117409.633229,1.042,8.200,7.000,1
