Unix_Time_s,RelativeTime_s,Target_Position_Deg,Measured_Position_Deg,Is_Bursting
1782117271.398927,0.016,7.000,7.000,0
1782117271.413092,0.030,7.000,7.000,0
1782117271.418009,0.035,7.000,7.000,0
1782117271.427536,0.044,7.000,7.000,0
1782117271.435295,0.052,7.000,7.000,0
1782117271.446874,0.064,7.000,7.000,0
1782117271.453630,0.070,7.000,7.000,0
1782117271.465194,0.082,7.000,7.000,0
1782117271.481455,0.098,7.000,7.000,0
1782117271.484546,0.101,7.000,7.000,0
1782117271.495061,0.112,7.000,7.000,0
1782117271.506524,0.123,7.000,7.000,0
1782117271.515958,0.133,7.000,7.000,0
1782117271.525669,0.142,7.000,7.000,0
1782117271.535446,0.152,7.000,7.000,0
1782117271.550781,0.167,7.000,7.000,0
1782117271.555557,0.172,7.000,7.000,0
1782117271.564314,0.181,7.000,7.000,0
1782117271.576122,0.193,7.000,7.000,0
1782117271.584647,0.201,7.000,7.000,0
1782117271.594556,0.211,7.000,7.000,0
1782117271.606114,0.223,7.000,7.000,0
1782117271.613891,0.231,7.000,7.000,0
1782117271.625170,0.242,7.000,7.000,0
1782117271.635240,0.252,7.000,7.000,0
1782117271.652286,0.269,7.000,7.000,0
1782117271.654635,0.271,7.000,7.000,0
1782117271.663867,0.281,7.000,7.000,0
1782117271.675435,0.292,7.000,7.000,0
1782117271.686963,0.304,7.000,7.000,0
1782117271.695795,0.312,7.000,7.000,0
1782117271.705316,0.322,7.000,7.000,0
1782117271.714859,0.332,7.000,7.000,0
1782117271.726051,0.343,7.000,7.000,0
1782117271.735945,0.353,7.000,7.000,0
1782117271.755233,0.372,7.000,7.000,0
1782117271.755233,0.372,7.000,7.000,0
1782117271.765760,0.382,7.000,7.000,0
1782117271.777313,0.394,7.000,7.000,0
1782117271.786687,0.403,7.000,7.000,0
1782117271.794574,0.411,7.000,7.000,0
1782117271.805121,0.422,7.000,7.000,0
1782117271.814906,0.432,7.000,7.000,0
1782117271.825434,0.442,7.000,7.000,0
1782117271.835972,0.453,7.000,7.000,0
1782117271.844729,0.461,7.000,7.000,0
1782117271.856284,0.473,7.000,7.000,0
1782117271.865905,0.483,7.000,7.000,0
1782117271.875700,0.492,7.000,7.000,0
1782117271.886239,0.503,7.000,7.000,0
1782117271.894603,0.511,7.000,7.000,0
1782117271.904515,0.521,7.000,7.000,0
1782117271.916701,0.533,7.000,7.000,0
1782117271.928353,0.545,7.000,7.000,0
1782117271.936121,0.553,7.000,7.000,0
1782117271.945645,0.562,7.000,7.000,0
1782117271.960186,0.577,7.000,7.000,0
1782117271.964959,0.582,7.000,7.000,0
1782117271.976517,0.593,7.000,7.000,0
1782117271.984927,0.602,7.000,7.000,0
1782117271.995853,0.613,7.000,7.000,0
1782117272.005416,0.622,7.000,7.000,0
1782117272.015678,0.632,7.000,7.000,0
1782117272.027843,0.645,7.000,7.000,0
1782117272.035737,0.652,7.000,7.000,0
1782117272.045538,0.662,7.000,7.000,0
1782117272.061862,0.679,7.000,7.000,0
1782117272.065279,0.682,7.000,7.000,0
1782117272.074405,0.691,7.000,7.000,0
